import took 958ms
elaboration took 90.4ms
instantiate metavars took 3.35s
process pre-definitions took 82.8ms
elaboration took 1.79s
type checking took 86.9ms
type checking took 139ms
compilation (LCNF base) took 99.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 50.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 61.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 79.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 71.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 69.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 61.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 56.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 61.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 56.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 61.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 77ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 73.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 70.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 59ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 58.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 61.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 77.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 70.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 69ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 64.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 57.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 59.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 77.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 72.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 71.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 58.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 61.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 59.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 62.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 79.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 73.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 71.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 63.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 59.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 59.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 62.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 79.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 74.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 73.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 63.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 61ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 63.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 58.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 62.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 78.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 75.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 71.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 64.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 61ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 50.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 63.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 79.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 76ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 75.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 61.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 62.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 54.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 62.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 82.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 74.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 72.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 62.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 59.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 63ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 62ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 51.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 61.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 81ms
